137,疯狂原始人,486695人评价,老少皆宜，这就是好莱坞动画的魅力。,8.7
138,无人知晓,115718人评价,我的平常生活就是他人的幸福。,9.1
139,喜宴,183662人评价,中国家庭的喜怒哀乐忍。,8.9
140,萤火虫之墓,256992人评价,幸福是生生不息，却难以触及的远。 ,8.7
141,东邪西毒,339419人评价,电影诗。,8.6
142,英雄本色,252613人评价,英雄泪短，兄弟情长。 ,8.6
143,贫民窟的百万富翁,477498人评价,上帝之城+猜火车+阿甘正传+开心辞典=山寨富翁,8.5
144,黑天鹅,523210人评价,黑暗之美。,8.5
145,记忆碎片,354766人评价,一个针管引发的血案。,8.6
146,血战钢锯岭,439920人评价,优秀的战争片不会美化战场，不会粉饰死亡，不会矮化敌人，不会无视常识，最重要的，不会宣扬战争。,8.7
147,心迷宫,255703人评价,荒诞讽刺，千奇百巧，抽丝剥茧，百转千回。,8.7
148,傲慢与偏见,400718人评价,爱是摈弃傲慢与偏见之后的曙光。,8.5
149,时空恋旅人,280120人评价,把每天当作最后一天般珍惜度过，积极拥抱生活，就是幸福。,8.7
150,荒蛮故事,205340人评价,始于荒诞，止于更荒诞。,8.8
151,雨人,254972人评价,生活在自己的世界里，也可以让周围的人显得可笑和渺小。,8.7
152,纵横四海,208691人评价,香港浪漫主义警匪动作片的巅峰之作。,8.7
153,教父3,177715人评价,任何信念的力量，都无法改变命运。,8.8
154,达拉斯买家俱乐部,248859人评价,Jared Leto的腿比女人还美！,8.7
155,玩具总动员3,250242人评价,跨度十五年的欢乐与泪水。,8.8
156,完美的世界,111842人评价,坏人的好总是比好人的好来得更感人。,9.1
157,卢旺达饭店,153265人评价,当这个世界闭上双眼，他却敞开了怀抱。,8.9
158,花样年华,317303人评价,偷情本没有这样美。,8.6
159,海边的曼彻斯特,276799人评价,我们都有权利不与自己的过去和解。,8.6
160,海洋,112972人评价,大海啊，不全是水。,9.0
161,恋恋笔记本,363808人评价,爱情没有那么多借口，如果不能圆满，只能说明爱的不够。 ,8.5
162,虎口脱险,132959人评价,永远看不腻的喜剧。,8.9
163,你看起来好像很好吃,190206人评价,感情不分食草或者食肉。,8.8
164,被解救的姜戈,333735人评价,热血沸腾，那个低俗、性感的无耻混蛋又来了。,8.6
165,二十二,154556人评价,有一些东西不应该被遗忘。,8.7
166,头脑特工队,315778人评价,愿我们都不用长大，每一座城堡都能永远存在。,8.7
167,无敌破坏王,283640人评价,迪士尼和皮克斯拿错剧本的产物。,8.7
168,冰川时代,355484人评价,松鼠才是角儿。,8.5
169,你的名字。,688611人评价,穿越错位的时空，仰望陨落的星辰，你没留下你的名字，我却无法忘记那句“我爱你”。,8.4
170,三块广告牌,450560人评价,,8.7
171,燃情岁月,176700人评价,传奇，不是每个人都可以拥有。,8.8
172,雨中曲,117915人评价,骨灰级歌舞片。,9.0
173,我是山姆,140422人评价,爱并不需要智商 。,8.9
174,爆裂鼓手,305940人评价,这个世界从不善待努力的人，努力了也不一定会成功，但是知道自己在努力，就是活下去的动力。,8.6
175,人工智能,244981人评价,对爱的执着，可以超越一切。,8.6
176,未麻的部屋,135070人评价,好的剧本是，就算你猜到了结局也猜不到全部。,8.9
177,穿越时空的少女,233816人评价,爱上未来的你。 ,8.6
178,魂断蓝桥,157283人评价,中国式内在的美国电影。,8.8
179,猜火车,295551人评价,不可猜的青春迷笛。 ,8.5
180,模仿游戏,333320人评价,他给机器起名“克里斯托弗”，因为这是他初恋的名字。,8.6
181,一个叫欧维的男人决定去死,178964人评价,惠及一生的美丽。,8.8
182,房间,213252人评价,被偷走的岁月，被伤害的生命，被禁锢的灵魂，终将被希望和善意救赎。,8.8
183,忠犬八公物语,87862人评价,养狗三日，便会对你终其一生。,9.1
184,完美陌生人,311731人评价,来啊，互相伤害啊！,8.5
185,恐怖游轮,429616人评价,不要企图在重复中寻找已经失去的爱。,8.4
186,罗生门,164868人评价,人生的N种可能性。,8.7
187,魔女宅急便,259433人评价,宫崎骏的电影总让人感觉世界是美好的，阳光明媚的。,8.6
188,阿飞正传,277132人评价,王家卫是一种风格，张国荣是一个代表。,8.5
189,香水,344320人评价,一个单凭体香达到高潮的男人。,8.5
190,哪吒闹海,112426人评价,想你时你在闹海。,8.9
191,浪潮,165162人评价,世界离独裁只有五天。,8.7
192,朗读者,322906人评价,当爱情跨越年龄的界限，它似乎能变得更久远一点，成为一种责任，一种水到渠成的相濡以沫。 ,8.5
193,黑客帝国3：矩阵革命,208628人评价,不得不说，《黑客帝国》系列是商业片与科幻、哲学完美结合的典范。,8.6
194,海街日记,194230人评价,是枝裕和的家庭习作。,8.7
195,可可西里,162137人评价,坚硬的信仰。,8.7
196,谍影重重2,206329人评价,谁说王家卫镜头很晃？,8.6
197,谍影重重,246165人评价,哗啦啦啦啦，天在下雨，哗啦啦啦啦，云在哭泣……找自己。,8.5
198,战争之王,213672人评价,做一颗让别人需要你的棋子。,8.6
199,牯岭街少年杀人事件,139254人评价,弱者送给弱者的一刀。,8.8
200,地球上的星星,111988人评价,天使保护事件始末。,8.9
201,青蛇,286443人评价,人生如此，浮生如斯。谁人言，花彼岸，此生情长意短。谁都是不懂爱的罢了。,8.5
202,惊魂记,111687人评价,故事的反转与反转，分裂电影的始祖。,8.9
203,疯狂的石头,423161人评价,中国版《两杆大烟枪》。,8.4
